,0,1,2,3,4,5,6,7,8,9
0,PERSON_ID,SEASON,0D_FQ,0D_FG_PCT,1D_FQ,1D_FG_PCT,2D_FQ,2D_FG_PCT,3D_FQ,3D_FG_PCT
243,202695,2013-14,0.459,0.527,0.174,0.616,0.161,0.462,0.183,0.492
244,203086,2013-14,0.911,0.451,0.056,0.6,0.022,0.0,0.011,1.0
245,202720,2013-14,0.707,0.523,0.122,0.5,0.138,0.324,0.033,0.5
246,1740,2013-14,0.691,0.399,0.157,0.486,0.106,0.44,0.047,0.364
247,203081,2013-14,0.308,0.449,0.102,0.481,0.068,0.375,0.245,0.426
248,202391,2013-14,0.33,0.445,0.147,0.423,0.133,0.5,0.245,0.451
249,2733,2013-14,0.192,0.543,0.148,0.592,0.1,0.646,0.209,0.44
250,201572,2013-14,0.703,0.584,0.122,0.429,0.092,0.619,0.079,0.5
251,201577,2013-14,0.77,0.576,0.146,0.511,0.065,0.405,0.017,0.364
252,201567,2013-14,0.645,0.49,0.23,0.409,0.092,0.4,0.032,0.378
253,200768,2013-14,0.307,0.466,0.098,0.442,0.103,0.404,0.252,0.407
254,101249,2013-14,0.489,0.323,0.121,0.522,0.126,0.333,0.142,0.259
255,202714,2013-14,0.326,0.425,0.12,0.407,0.108,0.509,0.228,0.429
256,101133,2013-14,0.857,0.481,0.095,0.667,0.021,0.0,0.026,0.2
257,1890,2013-14,0.708,0.512,0.166,0.504,0.069,0.265,0.048,0.294
258,203088,2013-14,0.418,0.406,0.098,0.39,0.107,0.422,0.174,0.384
259,201858,2013-14,0.726,0.455,0.122,0.438,0.091,0.333,0.046,0.083
260,2030,2013-14,0.805,0.535,0.089,0.455,0.081,0.4,0.024,0.333
261,2755,2013-14,0.488,0.493,0.193,0.429,0.118,0.342,0.158,0.329
262,2427,2013-14,0.687,0.348,0.075,0.4,0.119,0.375,0.075,0.4
263,202083,2013-14,0.548,0.449,0.181,0.418,0.136,0.46,0.113,0.395
264,101131,2013-14,0.752,0.443,0.162,0.412,0.029,0.667,0.057,0.5
265,201953,2013-14,0.327,0.364,0.099,0.6,0.158,0.188,0.198,0.25
266,201564,2013-14,0.467,0.42,0.144,0.455,0.144,0.377,0.193,0.359
267,201601,2013-14,0.623,0.479,0.147,0.357,0.162,0.516,0.063,0.25
268,203492,2013-14,0.336,0.48,0.104,0.258,0.044,0.308,0.252,0.347
269,203468,2013-14,0.416,0.473,0.152,0.481,0.101,0.333,0.236,0.238
270,201580,2013-14,0.711,0.519,0.158,0.5,0.079,0.0,0.053,0.0
271,203463,2013-14,0.628,0.365,0.16,0.383,0.105,0.271,0.091,0.508
272,201177,2013-14,0.746,0.425,0.108,0.4,0.076,0.619,0.068,0.421
273,201975,2013-14,0.537,0.478,0.2,0.483,0.13,0.457,0.103,0.391
274,203539,2013-14,0.326,0.429,0.093,0.5,0.116,0.3,0.233,0.25
275,203114,2013-14,0.538,0.47,0.203,0.456,0.137,0.417,0.109,0.326
276,101139,2013-14,0.609,0.414,0.142,0.534,0.139,0.439,0.1,0.439
277,1889,2013-14,0.21,0.596,0.085,0.368,0.094,0.381,0.317,0.38
278,203121,2013-14,0.578,0.427,0.193,0.375,0.145,0.458,0.066,0.636
279,2034,2013-14,0.717,0.476,0.131,0.5,0.09,0.575,0.057,0.36
280,203113,2013-14,0.504,0.364,0.121,0.452,0.109,0.25,0.184,0.426
